@RELATION full_data_modified

@ATTRIBUTE price NUMERIC
@ATTRIBUTE retail_price NUMERIC
@ATTRIBUTE uses_ad_boosts NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE badges_count NUMERIC
@ATTRIBUTE badge_local_product NUMERIC
@ATTRIBUTE badge_product_quality NUMERIC
@ATTRIBUTE badge_fast_shipping NUMERIC
@ATTRIBUTE product_variation_inventory NUMERIC
@ATTRIBUTE shipping_option_price NUMERIC
@ATTRIBUTE shipping_is_express NUMERIC
@ATTRIBUTE countries_shipped_to NUMERIC
@ATTRIBUTE inventory_total NUMERIC
@ATTRIBUTE merchant_rating_count NUMERIC
@ATTRIBUTE merchant_rating NUMERIC
@ATTRIBUTE merchant_has_profile_picture NUMERIC
@ATTRIBUTE size_encoded NUMERIC
@ATTRIBUTE price_converted NUMERIC
@ATTRIBUTE color_encoded NUMERIC
@ATTRIBUTE units_sold_categories NUMERIC
@ATTRIBUTE rating_five_proportion NUMERIC
@ATTRIBUTE rating_four_proportion NUMERIC
@ATTRIBUTE rating_three_proportion NUMERIC
@ATTRIBUTE rating_two_proportion NUMERIC
@ATTRIBUTE rating_one_proportion NUMERIC

@DATA
16.0,14,0,3.76,0,0,0,0,50,4,0,34,50,568,4.128521126760563,0,3,17.6,60,Slow,0.48148148148148145,0.14814814814814814,0.18518518518518517,0.018518518518518517,0.16666666666666666
8.0,22,1,3.45,0,0,0,0,50,2,0,41,50,17752,3.8996732762505633,0,1,8.8,24,Hot,0.3698451507742461,0.167400162999185,0.18223308883455583,0.10497147514262428,0.17555012224938876
8.0,43,0,3.57,0,0,0,0,1,3,0,36,50,295,3.989830508474576,0,1,8.8,37,Slow,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.0,0.21428571428571427
8.0,8,1,4.03,0,0,0,0,50,2,0,41,50,23832,4.020434709634105,0,3,8.8,4,Stable,0.5094991364421416,0.20552677029360966,0.15025906735751296,0.07253886010362694,0.06217616580310881
2.72,3,1,3.1,0,0,0,0,1,1,0,35,50,14482,4.001588178428394,0,2,2.9920000000000004,69,Slow,0.3,0.2,0.1,0.1,0.3
3.92,9,0,5.0,0,0,0,0,1,1,0,40,50,65,3.507692307692308,0,8,4.312,39,Slow,1.0,0.0,0.0,0.0,0.0
7.0,6,0,3.84,0,0,0,0,50,2,0,31,50,10194,4.076515597410241,1,1,7.700000000000001,60,Hot,0.4704835360427173,0.2005339661821418,0.14402254523880154,0.07267873034707802,0.11228122218926134
12.0,11,0,3.76,0,0,0,0,50,3,0,139,50,342,3.681286549707602,0,8,13.2,11,Stable,0.4195804195804196,0.1958041958041958,0.21328671328671328,0.06293706293706294,0.10839160839160839
11.0,84,1,3.47,0,0,0,0,50,2,0,36,50,330,3.803030303030303,0,3,12.1,4,Slow,0.4,0.13333333333333333,0.2,0.06666666666666667,0.2
5.78,22,0,3.6,0,0,0,0,50,2,0,33,50,5534,3.999819298879653,0,2,6.3580000000000005,3,Stable,0.4177583697234352,0.18631732168850074,0.1339155749636099,0.09898107714701601,0.16302765647743814
5.79,5,0,3.46,0,0,0,0,2,2,0,25,50,9470,3.9568109820485744,0,8,6.369000000000001,25,Stable,0.399673735725938,0.16476345840130505,0.13213703099510604,0.09951060358890701,0.2039151712887439
6.0,8,1,3.31,0,0,0,0,2,2,0,40,50,3515,3.983783783783784,0,1,6.6000000000000005,29,Slow,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.0,0.23076923076923078
1.91,6,1,3.45,0,0,0,0,1,1,0,38,50,557,4.123877917414721,0,1,2.101,43,Stable,0.3475177304964539,0.20567375886524822,0.1702127659574468,0.09929078014184398,0.1773049645390071
5.79,42,0,3.32,0,0,0,0,50,2,0,43,50,5083,3.9474719653747785,0,2,6.369000000000001,53,Stable,0.2975206611570248,0.19834710743801653,0.19008264462809918,0.15702479338842976,0.15702479338842976
2.0,2,1,3.65,0,0,0,0,1,1,0,36,50,55499,4.138885385322258,0,2,2.2,69,Hot,0.4004884004884005,0.19576719576719576,0.18681318681318682,0.08384208384208384,0.1330891330891331
11.0,81,0,3.92,0,0,0,0,50,3,0,41,50,39381,4.066326401056347,0,2,12.1,4,Stable,0.4788732394366197,0.22065727699530516,0.14553990610328638,0.04929577464788732,0.1056338028169014
11.0,10,0,3.72,0,0,0,0,50,2,0,34,50,6302,3.958425896540781,0,4,12.1,53,Hot,0.40816326530612246,0.21137026239067055,0.18756073858114675,0.07677356656948493,0.11613216715257532
5.0,25,1,3.83,0,0,0,0,50,1,0,41,50,139223,3.933581376640354,0,2,5.5,60,Hot,0.4610678531701891,0.19371523915461625,0.16412680756395995,0.07842046718576196,0.10266963292547275
9.0,9,0,3.82,0,0,0,0,50,3,0,43,50,22089,4.081624337905745,0,2,9.9,11,Hot,0.4482569812009491,0.21208249680598648,0.15568534404088338,0.07866398977915678,0.10531118817302428
7.0,7,0,3.67,0,0,0,0,7,2,0,41,50,3592,4.062360801781737,0,2,7.700000000000001,53,Stable,0.40654205607476634,0.16822429906542055,0.22897196261682243,0.0794392523364486,0.11682242990654206
11.0,10,0,3.84,0,0,0,0,50,3,0,69,50,23609,4.256597060443052,0,2,12.1,24,Stable,0.42772612003381233,0.231614539306847,0.18258664412510567,0.06846999154691462,0.08960270498732037
5.0,6,0,3.6,0,0,0,0,11,2,0,41,50,12913,3.981336637497096,1,2,5.5,4,Hot,0.4045608108108108,0.17792792792792791,0.17173423423423423,0.10078828828828829,0.14498873873873874
